t fidelity1
0.000000000000000000e+00 0.000000000000000000e+00
7.853981633974483484e-03 1.048167753611547320e-03
1.570796326794896697e-02 4.187130862473372947e-03
2.356194490192345045e-02 9.400984768288154700e-03
3.141592653589793394e-02 1.666344942030185960e-02
3.926990816987241395e-02 2.593700422343402784e-02
4.712388980384690090e-02 3.717425358423939730e-02
5.497787143782138092e-02 5.031763037194379729e-02
6.283185307179586787e-02 6.530037776005517824e-02
7.068583470577034789e-02 8.204619854674534418e-02
7.853981633974482790e-02 1.004701501133006408e-01
8.639379797371930791e-02 1.204784397832375648e-01
9.424777960769380181e-02 1.419700891740287296e-01
1.021017612416682679e-01 1.648361790762208900e-01
1.099557428756427618e-01 1.889616948138824748e-01
1.178097245096172280e-01 2.142253234847152077e-01
1.256637061435917357e-01 2.405003309483675356e-01
1.335176877775662019e-01 2.676563995465010004e-01
1.413716694115406958e-01 2.955594491453557571e-01
1.492256510455151619e-01 3.240723637590696704e-01
1.570796326794896558e-01 3.530543793341952563e-01
1.649336143134641219e-01 3.823627736608486427e-01
1.727875959474386158e-01 4.118536067446895710e-01
1.806415775814131097e-01 4.413849836788905634e-01
1.884955592153876036e-01 4.708160473799852808e-01
1.963495408493620697e-01 5.000076888129981745e-01
2.042035224833365359e-01 5.288226616337765584e-01
2.120575041173110298e-01 5.571269674888057466e-01
2.199114857512855237e-01 5.847907758302928194e-01
2.277654673852600176e-01 6.116872303139844202e-01
2.356194490192344559e-01 6.376936809948747786e-01
2.434734306532089776e-01 6.626928830556251260e-01
2.513274122871834715e-01 6.865769148823537282e-01
2.591813939211579099e-01 7.092475889024159041e-01
2.670353755551324038e-01 7.306154155390185423e-01
2.748893571891068976e-01 7.505961008461892181e-01
2.827433388230813915e-01 7.691100664373344831e-01
2.905973204570558299e-01 7.860874444097043501e-01
2.984513020910303238e-01 8.014684514341687827e-01
3.063052837250048177e-01 8.152052195314580807e-01
3.141592653589793116e-01 8.272594173807864548e-01
3.220132469929538055e-01 8.376021338071020228e-01
3.298672286269282439e-01 8.462119569619662718e-01
3.377212102609027378e-01 8.530786496758918647e-01
3.455751918948772317e-01 8.582021586867940588e-01
3.534291735288517255e-01 8.615925301741356179e-01
3.612831551628262194e-01 8.632688641757975123e-01
3.691371367968006578e-01 8.632598160568871748e-01
3.769911184307752072e-01 8.616034527036805502e-01
3.848451000647496456e-01 8.583462754918895765e-01
3.926990816987241395e-01 8.535431927571728306e-01
4.005530633326986334e-01 8.472575994551670986e-01
4.084070449666730718e-01 8.395604311879365511e-01
4.162610266006476212e-01 8.305291498542302087e-01
4.241150082346220596e-01 8.202484646119840850e-01
4.319689898685965534e-01 8.088093962866556019e-01
4.398229715025710473e-01 7.963075146923783709e-01
4.476769531365454857e-01 7.828432601856615269e-01
4.555309347705200351e-01 7.685211134763498819e-01
4.633849164044944735e-01 7.534487083376926186e-01
4.712388980384689119e-01 7.377360907713021998e-01
4.790928796724434613e-01 7.214960711599778254e-01
4.869468613064179552e-01 7.048424235544279437e-01
4.948008429403924491e-01 6.878890315023631352e-01
5.026548245743669430e-01 6.707492455957676514e-01
5.105088062083413813e-01 6.535350590756554556e-01
5.183627878423158197e-01 6.363578571090154901e-01
5.262167694762903691e-01 6.193265869665238732e-01
5.340707511102648075e-01 6.025464487306557704e-01
5.419247327442392459e-01 5.861185451655224199e-01
5.497787143782137953e-01 5.701390817106720688e-01
5.576326960121882337e-01 5.547007228069230633e-01
5.654866776461627831e-01 5.398913964297296086e-01
5.733406592801372215e-01 5.257919086541413822e-01
5.811946409141116598e-01 5.124763303434649586e-01
5.890486225480862092e-01 5.000114156177455360e-01
5.969026041820606476e-01 4.884572092250110686e-01
6.047565858160351970e-01 4.778671806808962863e-01
6.126105674500096354e-01 4.682857628743049005e-01
6.204645490839840738e-01 4.597489132991649519e-01
6.283185307179586232e-01 4.522837929128645240e-01
6.361725123519330616e-01 4.459094092456961644e-01
6.440264939859076110e-01 4.406380425636203246e-01
6.518804756198820494e-01 4.364722288657559290e-01
6.597344572538564877e-01 4.334058728773003133e-01
6.675884388878310371e-01 4.314249472655115603e-01
6.754424205218054755e-01 4.305072172109404294e-01
6.832964021557800249e-01 4.306224153365139640e-01
6.911503837897544633e-01 4.317325473879544129e-01
6.990043654237289017e-01 4.337921846819481897e-01
7.068583470577034511e-01 4.367488770942434817e-01
7.147123286916778895e-01 4.405435280010709942e-01
7.225663103256524389e-01 4.451107673820244304e-01
7.304202919596268773e-01 4.503795320203951014e-01
7.382742735936013156e-01 4.562735993173125948e-01
7.461282552275758650e-01 4.627122053278763802e-01
7.539822368615504145e-01 4.696106904948681438e-01
7.618362184955248528e-01 4.768811948754209107e-01
7.696902001294992912e-01 4.844331804374328310e-01
7.775441817634737296e-01 4.921737683031554567e-01
7.853981633974482790e-01 5.000089831805941687e-01
7.932521450314228284e-01 5.078443362016828999e-01
8.011061266653972668e-01 5.155856034222483508e-01
8.089601082993717052e-01 5.231393482102781878e-01
8.168140899333461435e-01 5.304118634839758428e-01
8.246680715673206929e-01 5.373118565273876657e-01
8.325220532012952424e-01 5.437507631457694224e-01
8.403760348352696807e-01 5.496432245063089805e-01
8.482300164692441191e-01 5.549077796153540909e-01
8.560839981032185575e-01 5.594682617024293592e-01
8.639379797371931069e-01 5.632541000925390673e-01
8.717919613711676563e-01 5.662008244443559324e-01
8.796459430051420947e-01 5.682510478402349463e-01
8.874999246391165331e-01 5.693552543407370825e-01
8.953539062730909714e-01 5.694688719188660819e-01
9.032078879070654098e-01 5.685501080963603071e-01
9.110618695410400703e-01 5.665678381083462112e-01
9.189158511750145086e-01 5.634986054759913987e-01
9.267698328089889470e-01 5.593282593189122798e-01
