gt pop_odd_mix pop_parity_mix
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.570796326794896697e-02 1.232802885623747804e-03 6.166678861734080884e-04
3.141592653589793394e-02 4.921054431964857340e-03 2.464435167621649263e-03
4.712388980384690090e-02 1.103552377331802441e-02 5.537196131489217389e-03
6.283185307179586787e-02 1.952663498473052039e-02 9.824955923915794365e-03
7.853981633974482790e-02 3.032565197158245546e-02 1.531321804803177124e-02
9.424777960769380181e-02 4.334523550787447443e-02 2.198348073416540177e-02
1.099557428756427618e-01 5.848079898216372585e-02 2.981342624395035695e-02
1.256637061435917357e-01 7.561062492986282690e-02 3.877679824115605467e-02
1.413716694115406958e-01 9.459707275860206044e-02 4.884358645955691469e-02
1.570796326794896558e-01 1.152880550199365389e-01 5.998041889945521926e-02
1.727875959474386158e-01 1.375178101235017547e-01 7.215009236565474160e-02
1.884955592153876036e-01 1.611091871218898186e-01 8.531225675635006889e-02
2.042035224833365359e-01 1.858742785457694890e-01 9.942304138441721006e-02
2.199114857512855237e-01 2.116171781722447076e-01 1.144356274412613450e-01
2.356194490192344559e-01 2.381361361663674459e-01 1.303004989283964299e-01
2.513274122871834715e-01 2.652242334239889865e-01 1.469649723783180983e-01
2.670353755551324038e-01 2.926692094502417185e-01 1.643742914930764742e-01
2.827433388230813915e-01 3.202562676304132605e-01 1.824712245889894557e-01
2.984513020910303238e-01 3.477716923925009973e-01 2.011963197953747784e-01
3.141592653589793116e-01 3.750066409096175502e-01 2.204883341802634789e-01
3.298672286269282439e-01 4.017561662390671806e-01 2.402849498755198487e-01
3.455751918948772317e-01 4.278204734784545327e-01 2.605223382670328602e-01
3.612831551628262194e-01 4.530076241096491207e-01 2.811356102070000085e-01
3.769911184307752072e-01 4.771343687886170915e-01 3.020586911179238276e-01
3.926990816987241395e-01 5.000250284162732761e-01 3.232241447949015245e-01
4.084070449666730718e-01 5.215154638528081144e-01 3.445641452978829289e-01
4.241150082346220596e-01 5.414599552206813549e-01 3.660103596183553742e-01
4.398229715025710473e-01 5.597321931838927789e-01 3.874951559685576030e-01
4.555309347705200351e-01 5.762227025238552125e-01 4.089520209559120989e-01
4.712388980384689119e-01 5.908298930197579679e-01 4.303146492495503184e-01
4.869468613064179552e-01 6.034702440050762062e-01 4.515177601951432806e-01
5.026548245743669430e-01 6.140810154381813879e-01 4.724968373982021408e-01
5.183627878423158197e-01 6.226218281811022326e-01 4.931885649925166759e-01
5.340707511102648075e-01 6.290720696279459290e-01 5.135313916553406743e-01
5.497787143782137953e-01 6.334268664762171541e-01 5.334655507957660747e-01
5.654866776461627831e-01 6.357015262924209376e-01 5.529322069510803628e-01
5.811946409141116598e-01 6.359316650456927622e-01 5.718743331427876830e-01
5.969026041820606476e-01 6.341721657717406258e-01 5.902371478243678693e-01
6.126105674500096354e-01 6.304955601393635867e-01 6.079682615144608171e-01
6.283185307179586232e-01 6.249926576542854662e-01 6.250204652255233473e-01
6.440264939859076110e-01 6.177707883462526528e-01 6.413497951671063291e-01
6.597344572538564877e-01 6.089528143684707073e-01 6.569158336544632659e-01
6.754424205218054755e-01 5.986770862739887455e-01 6.716817345568693032e-01
6.911503837897544633e-01 5.870947060191513689e-01 6.856101145366627625e-01
7.068583470577034511e-01 5.743690736045112821e-01 6.986677958044988923e-01
7.225663103256524389e-01 5.606750905885684588e-01 7.108251035132210349e-01
7.382742735936013156e-01 5.461956174222837301e-01 7.220560258321024882e-01
7.539822368615504145e-01 5.311208127339693830e-01 7.323402177684549264e-01
7.696902001294992912e-01 5.156462656099451980e-01 7.416607065012181810e-01
7.853981633974482790e-01 4.999707794055839316e-01 7.500047282872712717e-01
8.011061266653972668e-01 4.842957944465681175e-01 7.573631815119610255e-01
8.168140899333461435e-01 4.688231871199297629e-01 7.637292054949811337e-01
8.325220532012952424e-01 4.537521531504291050e-01 7.691007096824375999e-01
8.482300164692441191e-01 4.392776043728732205e-01 7.734796050337324758e-01
8.639379797371931069e-01 4.255889990855347693e-01 7.768717980878234730e-01
8.796459430051420947e-01 4.128705993237560268e-01 7.792871623830255334e-01
8.953539062730909714e-01 4.012962305919803851e-01 7.807389832635418525e-01
9.110618695410400703e-01 3.910283942437656757e-01 7.812442016634808528e-01
9.267698328089889470e-01 3.822167566001769545e-01 7.808234678675096685e-01
9.424777960769378238e-01 3.750008372337954032e-01 7.795010013776579871e-01
9.581857593448869226e-01 3.695047083680065847e-01 7.773040868140710380e-01
9.738937226128359104e-01 3.658354684988360805e-01 7.742632010713599300e-01
9.896016858807848982e-01 3.640825660524916185e-01 7.704121000472226033e-01
1.005309649148733886e+00 3.643187773970069654e-01 7.657876076932130793e-01
1.021017612416682763e+00 3.665993887463859235e-01 7.604290737103944764e-01
1.036725575684631639e+00 3.709589829083521084e-01 7.543783098902476780e-01
1.052433538952580738e+00 3.774125580073903752e-01 7.476798550462242510e-01
1.068141502220529615e+00 3.859577866643829069e-01 7.403806479384847927e-01
1.083849465488478492e+00 3.965719926141851870e-01 7.325295129759405999e-01
1.099557428756427591e+00 4.092129531836209977e-01 7.241766764223847019e-01
1.115265392024376467e+00 4.238192417444872628e-01 7.153741805994650038e-01
1.130973355292325566e+00 4.403106330859796191e-01 7.061753765169677122e-01
1.146681318560274443e+00 4.585886478900346175e-01 6.966346605923743329e-01
1.162389281828223320e+00 4.785379303407013563e-01 6.868072010407714201e-01
1.178097245096172418e+00 5.000278943998980319e-01 6.767487905118141356e-01
1.193805208364121295e+00 5.229129424992922104e-01 6.665162763534020485e-01
1.209513171632070394e+00 5.470340082263043247e-01 6.561663623462116179e-01
1.225221134900019271e+00 5.722182280514580555e-01 6.457555611936839357e-01
1.240929098167968148e+00 5.982819734142952317e-01 6.353400005200117162e-01
1.256637061435917246e+00 6.250321564303964461e-01 6.249751442580101513e-01
1.272345024703866123e+00 6.522675608775365674e-01 6.147155223647206013e-01
1.288052987971815222e+00 6.797806571317934754e-01 6.046153105830257557e-01
1.303760951239764099e+00 7.073595636322125291e-01 5.947274767613898172e-01
1.319468914507712975e+00 7.347909253097713034e-01 5.851031538221718176e-01
1.335176877775662074e+00 7.618638404045778856e-01 5.757916923968703360e-01
1.350884841043610951e+00 7.883705999309547074e-01 5.668404020841172342e-01
1.366592804311560050e+00 8.141090275176834368e-01 5.582942899844401952e-01
1.382300767579508927e+00 8.388739136489686832e-01 5.501964633097367052e-01
1.398008730847457803e+00 8.624660944170439159e-01 5.425887293031730341e-01
1.413716694115406902e+00 8.846928935320548248e-01 5.355094040860994831e-01
1.429424657383355779e+00 9.053757348945434824e-01 5.289939309839180037e-01
1.445132620651304878e+00 9.243524198592836250e-01 5.230747298145510538e-01
1.460840583919253755e+00 9.414744510610992823e-01 5.177810120025126972e-01
1.476548547187202631e+00 9.566086221144691759e-01 5.131387257458724926e-01
1.492256510455151730e+00 9.696290823355753208e-01 5.091715535957849204e-01
1.507964473723100829e+00 9.804287244449130245e-01 5.058993765140753496e-01
1.523672436991049706e+00 9.889168970074196929e-01 5.033383255347390062e-01
1.539380400258998582e+00 9.950265361116863438e-01 5.015008738110988684e-01
1.555088363526947459e+00 9.987112770598585154e-01 5.003957347530865185e-01
1.570796326794896558e+00 9.999439724084537851e-01 5.000277687760714684e-01
1.586504290062845657e+00 9.987125572782789007e-01 5.003989692066973527e-01
1.602212253330794534e+00 9.950247494816051308e-01 5.015080756887729807e-01
1.617920216598743410e+00 9.889097671746573948e-01 5.033495512684642570e-01
1.633628179866692287e+00 9.804184288229509381e-01 5.059141807408836788e-01
1.649336143134641386e+00 9.696209146544926272e-01 5.091892512626147171e-01
1.665044106402590485e+00 9.566029810459395488e-01 5.131587444388471253e-01
1.680752069670539361e+00 9.414692898138788957e-01 5.178030504685209312e-01
1.696460032938488238e+00 9.243418609484608250e-01 5.230991896944393593e-01
1.712167996206437115e+00 9.053575952202375099e-01 5.290208947727474964e-01
1.727875959474386214e+00 8.846697561952738820e-01 5.355386734874693078e-01
1.743583922742335313e+00 8.624442257399804745e-01 5.426199905627574482e-01
1.759291886010284189e+00 8.388571183842186141e-01 5.502293818408441339e-01
1.774999849278233066e+00 8.140963058614515413e-01 5.583285981829995137e-01
1.790707812546181943e+00 7.883574076530952546e-01 5.668767620829631149e-01
1.806415775814130820e+00 7.618427312389270956e-01 5.758305458241157471e-01
1.822123739082080141e+00 7.347603983042043652e-01 5.851443587059096396e-01
1.837831702350029017e+00 7.073217477119340124e-01 5.947705438378918519e-01
1.853539665617977894e+00 6.797401644617548921e-01 6.046595270794312693e-01
1.869247628885926771e+00 6.522291219830224085e-01 6.147600881433755715e-01
1.884955592153875648e+00 6.249986630694903678e-01 6.250195990191507178e-01
1.900663555421824968e+00 5.982550529264116790e-01 6.353842559309573756e-01
1.916371518689773845e+00 5.721984031832064721e-01 6.457991382379700829e-01
1.932079481957722500e+00 5.470203032598109916e-01 6.562085407006842397e-01
1.947787445225671821e+00 5.229022937510906521e-01 6.665563098012702303e-01
1.963495408493620697e+00 5.000167492579585815e-01 6.767860525288582618e-01
1.979203371761569796e+00 4.785263830438103994e-01 6.868414077182580790e-01
1.994911335029518673e+00 4.585801169408822986e-01 6.966663266390360487e-01
2.010619298297467772e+00 4.403091251077109192e-01 7.062050107853661274e-01
2.026327261565416649e+00 4.238261268882460020e-01 7.154015335265566655e-01
2.042035224833365525e+00 4.092254832376716056e-01 7.242012953587868562e-01
2.057743188101314402e+00 3.965888010597433122e-01 7.325508204711415061e-01
2.073451151369263279e+00 3.859789351484542164e-01 7.403979685093531327e-01
2.089159114637212600e+00 3.774390099614310379e-01 7.476921815611980993e-01
2.104867077905161477e+00 3.709918603664398851e-01 7.543847343529661575e-01
2.120575041173110353e+00 3.666397365697873223e-01 7.604289975948637093e-01
2.136283004441059230e+00 3.643655132961153842e-01 7.657806825036579390e-01
2.151990967709008107e+00 3.641353270157307032e-01 7.703980978652977818e-01
2.167698930976956984e+00 3.658944722445275910e-01 7.742424133454647306e-01
2.183406894244906304e+00 3.695702220836839524e-01 7.772779228138743113e-01
2.199114857512855181e+00 3.750723117780994098e-01 7.794723103217144899e-01
2.214822820780804058e+00 3.822920769376546568e-01 7.807950866509831833e-01
2.230530784048752935e+00 3.911066995701205640e-01 7.812164588826115974e-01
2.246238747316702256e+00 4.013786298840930078e-01 7.807117274383912342e-01
2.261946710584651132e+00 4.129558076897927310e-01 7.792594792088752831e-01
2.277654673852600009e+00 4.256756292327374958e-01 7.768416287190393898e-01
2.293362637120548886e+00 4.393643206204180252e-01 7.734447555207164537e-01
2.309070600388497763e+00 4.538386894443826591e-01 7.690601852277458850e-01
2.324778563656446639e+00 4.689093106598060112e-01 7.636827295050823139e-01
2.340486526924395960e+00 4.843803283039762597e-01 7.573115750143891711e-01
2.356194490192344837e+00 5.000520131142401903e-01 7.499504006216046736e-01
2.371902453460293714e+00 5.157232308856491976e-01 7.416044338105869382e-01
2.387610416728242591e+00 5.311919649238517893e-01 7.322820392377341614e-01
2.403318379996191911e+00 5.462590927085745340e-01 7.219960452664080375e-01
2.419026343264140788e+00 5.607304168585598436e-01 7.107633330122292703e-01
2.434734306532089665e+00 5.744174165943696231e-01 6.986057848159383799e-01
2.450442269800038542e+00 5.871367850610413885e-01 6.855487257178900506e-01
2.466150233067987418e+00 5.987133163416490378e-01 6.716213464212844597e-01
2.481858196335936295e+00 6.089822289409785316e-01 6.568556098844409163e-01
2.497566159603885616e+00 6.177917257264824435e-01 6.412870169228277462e-01
2.513274122871834493e+00 6.250037139947184350e-01 6.249542989500628254e-01
2.528982086139783370e+00 6.304952511354291467e-01 6.078995708559902234e-01
2.544690049407732246e+00 6.341591776147826875e-01 5.901680303174507980e-01
2.560398012675681567e+00 6.359068596945324225e-01 5.718076377814754752e-01
2.576105975943630444e+00 6.356666629158878035e-01 5.528693454312993971e-01
2.591813939211579321e+00 6.333824578082698498e-01 5.334073213498734534e-01
2.607521902479528197e+00 6.290183938067470670e-01 5.134784099721033668e-01
2.623229865747477074e+00 6.225581075269938092e-01 4.931418158583372180e-01
2.638937829015425951e+00 6.140054834722643573e-01 4.724566383789337021e-01
2.654645792283375272e+00 6.033852172472465858e-01 4.514833155471943416e-01
2.670353755551324149e+00 5.907389255664899919e-01 4.302827924762865353e-01
2.686061718819273025e+00 5.761275444223070696e-01 4.089199980918148958e-01
2.701769682087221902e+00 5.596316610855089912e-01 3.874621906116195169e-01
2.717477645355171223e+00 5.413486889385691336e-01 3.659782684711540002e-01
2.733185608623120100e+00 5.213943625014973993e-01 3.445368203527496287e-01
2.748893571891068976e+00 4.999009521497015385e-01 3.232038610019854485e-01
2.764601535159017853e+00 4.770135002824864023e-01 3.020458733755795322e-01
2.780309498426966730e+00 4.528923371837521583e-01 2.811284980574899617e-01
2.796017461694915607e+00 4.277099497087024083e-01 2.605195209919975996e-01
2.811725424962864484e+00 4.016489127501550183e-01 2.402853259106224881e-01
2.827433388230813804e+00 3.749023141181615504e-01 2.204915808760819773e-01
2.843141351498762681e+00 3.476700550974693438e-01 2.012023045146620892e-01
2.858849314766711558e+00 3.201576737219881119e-01 1.824802344472161719e-01
2.874557278034660879e+00 2.925756225842056080e-01 1.643867638741113024e-01
2.890265241302609756e+00 2.651365566635923710e-01 1.469812725096443784e-01
2.905973204570558632e+00 2.380541202776098597e-01 1.303207492497999997e-01
2.921681167838507509e+00 2.115408803463087739e-01 1.144597686941916798e-01
2.937389131106456386e+00 1.858039678339553358e-01 9.945032986185886603e-02
2.953097094374405263e+00 1.610451775652769479e-01 8.534244081060642084e-02
2.968805057642354139e+00 1.374595446970723334e-01 7.218310836897434690e-02
2.984513020910303460e+00 1.152352907211058736e-01 6.001639703179511426e-02
3.000220984178252337e+00 9.454993600544690791e-02 4.888246632841154737e-02
3.015928947446201658e+00 7.556967993927199423e-02 3.881786177817250771e-02
3.031636910714150535e+00 5.844802205454902033e-02 2.985529183819322571e-02
3.047344873982099411e+00 4.332378282693080673e-02 2.202468311880052820e-02
3.063052837250048288e+00 3.031848932926477572e-02 1.535330012701286578e-02
3.078760800517997165e+00 1.953492989458548851e-02 9.864934663991516833e-03
3.094468763785946042e+00 1.105653040827321923e-02 5.579391210413087512e-03
3.110176727053894918e+00 4.953145127165340701e-03 2.509875929888306066e-03
3.125884690321843795e+00 1.275683595444495038e-03 6.654936844149620615e-04
3.141592653589793116e+00 5.488235721429538232e-05 5.033536400044979559e-05
