gt pop_n1 pop_n2 pop_n3 pop_n4
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.570796326794896697e-02 2.467199161786458685e-04 9.866424617135766909e-04 2.219035481497591642e-03 3.942713623103232673e-03
3.141592653589793394e-02 9.866380441965613094e-04 3.942696030983528985e-03 8.856521964938621205e-03 1.570878357676471979e-02
4.712388980384690090e-02 2.219024032982658268e-03 8.856529307994466874e-03 1.985363536063573797e-02 3.511283064205206195e-02
6.283185307179586787e-02 3.942659466003301319e-03 1.570865619161272014e-02 3.511304432095573719e-02 6.184861445536855157e-02
7.853981633974482790e-02 6.155850066627799669e-03 2.447230798404306101e-02 5.449876455906156603e-02 9.549426127805143993e-02
9.424777960769380181e-02 8.856419129063975576e-03 3.511274151675927019e-02 7.783865808874261549e-02 1.355182158850145036e-01
1.099557428756427618e-01 1.204169024640567437e-02 4.758783733988800752e-02 1.049255840964712361e-01 1.812915251204978151e-01
1.256637061435917357e-01 1.570853276514557265e-02 6.184865046112199977e-02 1.355183730868818326e-01 2.320913521122219825e-01
1.413716694115406958e-01 1.985331831738627179e-02 7.783842903015660009e-02 1.693477146060859140e-01 2.871134878336717433e-01
1.570796326794896558e-01 2.447205880410976281e-02 9.549464022489480286e-02 2.061110968624690620e-01 3.454926760806144026e-01
1.727875959474386158e-01 2.955999470428539999e-02 1.147463908766676727e-01 2.454833550217964122e-01 4.063080792204276648e-01
1.884955592153876036e-01 3.511219934112408403e-02 1.355193007736008592e-01 2.871149268411730127e-01 4.686030491834748402e-01
2.042035224833365359e-01 4.112322248630453925e-02 1.577303670751419584e-01 3.306366524619370750e-01 5.313956285374729083e-01
2.199114857512855237e-01 4.758711361014764107e-02 1.812918089939304089e-01 3.756591997418372020e-01 5.936910857183488321e-01
2.356194490192344559e-01 5.449748451076780187e-02 2.061116866262943659e-01 4.217860796246392097e-01 6.545083555819641852e-01
2.513274122871834715e-01 6.184752998077307218e-02 2.320904940410871697e-01 4.686085502355903376e-01 7.128887995843640191e-01
2.670353755551324038e-01 6.962997222305691847e-02 2.591259270147845961e-01 5.157064138882889726e-01 7.679138043816635673e-01
2.827433388230813915e-01 7.783714737708086195e-02 2.871137538176623538e-01 5.626668142810298257e-01 8.187123372607901794e-01
2.984513020910303238e-01 8.646095254081576087e-02 3.159391129301206691e-01 6.090711893336608895e-01 8.644852651888970119e-01
3.141592653589793116e-01 9.549288036798832258e-02 3.454904326912828227e-01 6.545054061495175768e-01 9.045088608747715586e-01
3.298672286269282439e-01 1.049240189682161956e-01 3.756550849402870429e-01 6.985728280750642671e-01 9.381538203430455081e-01
3.455751918948772317e-01 1.147450596766966119e-01 4.063087110356952136e-01 7.408743113988687234e-01 9.648890779778498406e-01
3.612831551628262194e-01 1.249463108180473569e-01 4.373319979009372416e-01 7.810398196150069028e-01 9.842925146571023243e-01
3.769911184307752072e-01 1.355179370615805512e-01 4.686038469508774784e-01 8.187120957666738086e-01 9.960579179626329882e-01
3.926990816987241395e-01 1.464497301994392431e-01 4.999956779721077549e-01 8.535531044748754237e-01 9.999999996465702701e-01
4.084070449666730718e-01 1.577296944683130309e-01 5.313910514755567638e-01 8.852574127301153784e-01 9.960567299012086373e-01
4.241150082346220596e-01 1.693475178324282959e-01 5.626625779443114039e-01 9.135419513290590210e-01 9.842898083114993701e-01
