t fidelity1 fidelity2 fidelity3
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.817477042468103487e-02 1.058453558079192752e-02 1.058453558079191018e-02 1.058453558079188936e-02
1.963495408493620697e-01 4.185271801582675366e-02 4.185271801582684387e-02 4.185271801582671203e-02
2.945243112740431046e-01 9.237343767759836899e-02 9.237343767760079760e-02 9.237343767759863267e-02
3.926990816987241395e-01 1.598438123971751279e-01 1.598438123971809011e-01 1.598438123971760716e-01
4.908738521234051744e-01 2.412073039871066027e-01 2.412073039871164559e-01 2.412073039871081293e-01
5.890486225480862092e-01 3.328091425412073590e-01 3.328091425412212367e-01 3.328091425412104676e-01
6.872233929727672441e-01 4.305798206188400368e-01 4.305798206188580224e-01 4.305798206188465871e-01
7.853981633974482790e-01 5.302360106943193596e-01 5.302360106943340146e-01 5.302360106943279083e-01
8.835729338221293139e-01 6.274874885615088216e-01 6.274874885615393527e-01 6.274874885615293607e-01
9.817477042468103487e-01 7.182386140588387091e-01 7.182386140588810086e-01 7.182386140588679080e-01
1.079922474671491273e+00 7.987736928833099048e-01 7.987736928833569783e-01 7.987736928833458760e-01
1.178097245096172418e+00 8.659168793969159728e-01 8.659168793969599376e-01 8.659168793969527211e-01
1.276272015520853564e+00 9.171592171925594394e-01 9.171592171925965209e-01 9.171592171925919690e-01
1.374446785945534488e+00 9.507477021265349215e-01 9.507477021265593464e-01 9.507477021265574590e-01
1.472621556370215412e+00 9.657337394608229708e-01 9.657337394608322967e-01 9.657337394608264125e-01
1.570796326794896558e+00 9.619808539516331303e-01 9.619808539516258028e-01 9.619808539516206958e-01
1.668971097219577704e+00 9.401338593127528398e-01 9.401338593127176457e-01 9.401338593127531729e-01
1.767145867644258628e+00 9.015537263469460827e-01 9.015537263468887952e-01 9.015537263469748375e-01
1.865320638068939552e+00 8.482239627983021446e-01 8.482239627982348651e-01 8.482239627983724217e-01
1.963495408493620697e+00 7.826354196696463372e-01 7.826354196695842758e-01 7.826354196697606902e-01
2.061670178918301843e+00 7.076570184626223003e-01 7.076570184625833315e-01 7.076570184627768434e-01
2.159844949342982545e+00 6.263998818876425068e-01 6.263998818876230779e-01 6.263998818878420138e-01
2.258019719767663691e+00 5.420819006083322789e-01 5.420819006083290592e-01 5.420819006085737524e-01
2.356194490192344837e+00 4.578990108096078759e-01 4.578990108096160916e-01 4.578990108098370260e-01
2.454369260617025983e+00 3.769081320629151244e-01 3.769081320628548948e-01 3.769081320631745835e-01
2.552544031041707129e+00 3.019257132243070019e-01 3.019257132241858765e-01 3.019257132245860009e-01
2.650718801466387831e+00 2.354441485724182437e-01 2.354441485722714722e-01 2.354441485726869177e-01
2.748893571891068976e+00 1.795672419172159029e-01 1.795672419170417367e-01 1.795672419174722811e-01
2.847068342315750122e+00 1.359645794154129561e-01 1.359645794152087028e-01 1.359645794156552345e-01
2.945243112740430824e+00 1.058438586826158934e-01 1.058438586824175798e-01 1.058438586828164552e-01
3.043417883165111970e+00 8.993947657757798975e-02 8.993947657738247947e-02 8.993947657772208282e-02
3.141592653589793116e+00 8.851516582177809678e-02 8.851516582161660096e-02 8.851516582191497340e-02
3.239767424014474262e+00 1.013784464133293955e-01 1.013784464133016539e-01 1.013784464135053798e-01
3.337942194439155408e+00 1.279047341598507914e-01 1.279047341600331178e-01 1.279047341601184384e-01
3.436116964863836110e+00 1.670690748320899366e-01 1.670690748325165953e-01 1.670690748325156239e-01
3.534291735288517255e+00 2.174839625653557651e-01 2.174839625660872910e-01 2.174839625659649445e-01
3.632466505713198401e+00 2.774422038805948176e-01 2.774422038816765079e-01 2.774422038813975089e-01
3.730641276137879103e+00 3.449640657502634489e-01 3.449640657516782616e-01 3.449640657512812458e-01
3.828816046562560249e+00 4.178483735642030128e-01 4.178483735659445641e-01 4.178483735654215381e-01
3.926990816987241395e+00 4.937276059768358483e-01 4.937276059788966442e-01 4.937276059782063076e-01
4.025165587411922097e+00 5.701269962390476120e-01 5.701269962413509917e-01 5.701269962405337566e-01
4.123340357836603687e+00 6.445275967007860762e-01 6.445275967032515485e-01 6.445275967023242902e-01
4.221515128261284389e+00 7.144332312475079050e-01 7.144332312500726312e-01 7.144332312489942716e-01
4.319689898685965090e+00 7.774407992649907673e-01 7.774407992675321788e-01 7.774407992663392442e-01
4.417864669110646680e+00 8.313128563730314280e-01 8.313128563754152989e-01 8.313128563741492005e-01
4.516039439535327382e+00 8.740510676201640461e-01 8.740510676222894570e-01 8.740510676209204410e-01
4.614214209960008972e+00 9.039685336294293050e-01 9.039685336311684694e-01 9.039685336297171858e-01
4.712388980384689674e+00 9.197583299258841327e-01 9.197583299270861712e-01 9.197583299256189004e-01
4.810563750809370376e+00 9.205553663949044285e-01 9.205553663954820776e-01 9.205553663939820552e-01
4.908738521234051966e+00 9.059884273624738693e-01 9.059884273623434181e-01 9.059884273608157512e-01
5.006913291658732668e+00 8.762189523417157622e-01 8.762189523407799552e-01 8.762189523393012491e-01
5.105088062083414258e+00 8.319633737677750718e-01 8.319633737660111494e-01 8.319633737645830696e-01
5.203262832508094959e+00 7.744963027548201762e-01 7.744963027522465682e-01 7.744963027508603437e-01
5.301437602932775661e+00 7.056322168417102914e-01 7.056322168383394322e-01 7.056322168370677828e-01
5.399612373357457251e+00 6.276841728710972346e-01 6.276841728670137233e-01 6.276841728658778541e-01
5.497787143782137953e+00 5.433992799973177412e-01 5.433992799926795625e-01 5.433992799916517180e-01
5.595961914206818655e+00 4.558716181690160019e-01 4.558716181639678178e-01 4.558716181631095599e-01
5.694136684631500245e+00 3.684344879360994529e-01 3.684344879308344978e-01 3.684344879301808540e-01
5.792311455056180947e+00 2.845354070083214171e-01 2.845354070031085314e-01 2.845354070026181459e-01
5.890486225480861648e+00 2.075983367087935183e-01 2.075983367038788385e-01 2.075983367035802718e-01
5.988660995905543238e+00 1.408785380337342907e-01 1.408785380293600953e-01 1.408785380292999767e-01
6.086835766330223940e+00 8.731659135154212770e-02 8.731659134800102973e-02 8.731659134812613798e-02
6.185010536754905530e+00 4.939863821558465595e-02 4.939863821312510950e-02 4.939863821342710404e-02
6.283185307179586232e+00 2.902986797072142078e-02 2.902986796952634896e-02 2.902986797004736275e-02
6.381360077604266934e+00 2.742834137409951370e-02 2.742834137436144654e-02 2.742834137504394920e-02
6.479534848028948524e+00 4.504573695168548331e-02 4.504573695353025070e-02 4.504573695432578101e-02
6.577709618453629226e+00 8.152028908695971299e-02 8.152028909039549243e-02 8.152028909133404722e-02
6.675884388878310816e+00 1.356659641021714657e-01 1.356659641071755185e-01 1.356659641082039458e-01
6.774059159302991517e+00 2.055004248380272736e-01 2.055004248445117532e-01 2.055004248455483684e-01
6.872233929727672219e+00 2.883120535443206567e-01 2.883120535520588001e-01 2.883120535531180084e-01
6.970408700152353809e+00 3.807642404196745489e-01 3.807642404283937965e-01 3.807642404294386274e-01
7.068583470577034511e+00 4.790333514766513257e-01 4.790333514860470876e-01 4.790333514869798970e-01
7.166758241001715213e+00 5.789745013802994889e-01 5.789745013899583181e-01 5.789745013907762194e-01
7.264933011426396803e+00 6.763073627559111900e-01 6.763073627653864994e-01 6.763073627660849407e-01
7.363107781851077505e+00 7.668132203960381643e-01 7.668132204049210587e-01 7.668132204054076695e-01
7.461282552275758206e+00 8.465333654297665378e-01 8.465333654376062666e-01 8.465333654378718320e-01
7.559457322700439796e+00 9.119582513334945073e-01 9.119582513398531987e-01 9.119582513399255852e-01
7.657632093125120498e+00 9.601974265606239012e-01 9.601974265651697094e-01 9.601974265649872997e-01
7.755806863549802088e+00 9.891210618354963069e-01 9.891210618379473463e-01 9.891210618374985941e-01
7.853981633974482790e+00 9.974648812862294545e-01 9.974648812863529113e-01 9.974648812857035418e-01
7.952156404399163492e+00 9.848925337318422679e-01 9.848925337295636462e-01 9.848925337286952297e-01
