t fidelity1 fidelity2
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.817477042468103487e-02 9.822121603825837918e-03 9.822121603825837918e-03
1.963495408493620697e-01 3.889439211483256692e-02 3.889439211483256692e-02
2.945243112740431046e-01 8.605096774743846433e-02 8.605096774743846433e-02
3.926990816987241395e-01 1.494028436978690200e-01 1.494028436978690200e-01
4.908738521234051744e-01 2.264164250570274983e-01 2.264164250570274983e-01
5.890486225480862092e-01 3.140185928012180216e-01 3.140185928012180216e-01
6.872233929727672441e-01 4.087236237659205296e-01 4.087236237659205296e-01
7.853981633974482790e-01 5.067763969749066177e-01 5.067763969749066177e-01
8.835729338221293139e-01 6.043056605388307245e-01 6.043056605388307245e-01
9.817477042468103487e-01 6.974807713605271076e-01 6.974807713605271076e-01
1.079922474671491273e+00 7.826652658450383715e-01 7.826652658450383715e-01
1.178097245096172418e+00 8.565608692875584795e-01 8.565608692875584795e-01
1.276272015520853564e+00 9.163360847131332143e-01 9.163360847131332143e-01
1.374446785945534488e+00 9.597342849274169696e-01 9.597342849274169696e-01
1.472621556370215412e+00 9.851572191937597589e-01 9.851572191937597589e-01
1.570796326794896558e+00 9.917209845482690689e-01 9.917209845482690689e-01
1.668971097219577704e+00 9.792827423821395261e-01 9.792827423821395261e-01
1.767145867644258628e+00 9.484377229128592157e-01 9.484377229128592157e-01
1.865320638068939552e+00 9.004872945287062391e-01 9.004872945287062391e-01
1.963495408493620697e+00 8.373800274287187539e-01 8.373800274287187539e-01
2.061670178918301843e+00 7.616287044910509119e-01 7.616287044910509119e-01
2.159844949342982545e+00 6.762070891461903210e-01 6.762070891461903210e-01
2.258019719767663691e+00 5.844309230006229372e-01 5.844309230006229372e-01
2.356194490192344837e+00 4.898280789199617180e-01 4.898280789199617180e-01
2.454369260617025983e+00 3.960030330246147035e-01 3.960030330246147035e-01
2.552544031041707129e+00 3.065008464932453269e-01 3.065008464932453269e-01
2.650718801466387831e+00 2.246756789531653142e-01 2.246756789531653142e-01
2.748893571891068976e+00 1.535685104516536226e-01 1.535685104516536226e-01
2.847068342315750122e+00 9.579825467967499619e-02 9.579825467967499619e-02
2.945243112740430824e+00 5.346983166511244667e-02 5.346983166511244667e-02
3.043417883165111970e+00 2.810206436039605626e-02 2.810206436039605626e-02
3.141592653589793116e+00 2.057750092098422842e-02 2.057750092098422842e-02
3.239767424014474262e+00 3.111547184248805373e-02 3.111547184248805373e-02
3.337942194439155408e+00 5.926889465191139544e-02 5.926889465191139544e-02
3.436116964863836110e+00 1.039445613913121264e-01 1.039445613913121264e-01
3.534291735288517255e+00 1.634459050043630124e-01 1.634459050043630124e-01
3.632466505713198401e+00 2.355365557989113900e-01 2.355365557989113900e-01
3.730641276137879103e+00 3.175223811734380064e-01 3.175223811734380064e-01
3.828816046562560249e+00 4.063491609551175832e-01 4.063491609551175832e-01
3.926990816987241395e+00 4.987125952366261994e-01 4.987125952366261994e-01
4.025165587411922097e+00 5.911769783901303921e-01 5.911769783901303921e-01
4.123340357836603687e+00 6.802986079805123376e-01 6.802986079805123376e-01
4.221515128261284389e+00 7.627498360456395066e-01 7.627498360456395066e-01
4.319689898685965090e+00 8.354396176554022002e-01 8.354396176554022002e-01
4.417864669110646680e+00 8.956264722036224590e-01 8.956264722036224590e-01
4.516039439535327382e+00 9.410199499531307632e-01 9.410199499531307632e-01
4.614214209960008972e+00 9.698669918144953161e-01 9.698669918144953161e-01
4.712388980384689674e+00 9.810199837843077697e-01 9.810199837843077697e-01
4.810563750809370376e+00 9.739838354178869118e-01 9.739838354178869118e-01
4.908738521234051966e+00 9.489400468391582244e-01 9.489400468391582244e-01
5.006913291658732668e+00 9.067464592716913963e-01 9.067464592716913963e-01
5.105088062083414258e+00 8.489121931323678760e-01 8.489121931323678760e-01
5.203262832508094959e+00 7.775481434687961935e-01 7.775481434687961935e-01
5.301437602932775661e+00 6.952942981150251889e-01 6.952942981150251889e-01
5.399612373357457251e+00 6.052260381936224176e-01 6.052260381936224176e-01
5.497787143782137953e+00 5.107424389128830677e-01 5.107424389128830677e-01
5.595961914206818655e+00 4.154403743439171737e-01 4.154403743439171737e-01
5.694136684631500245e+00 3.229789059690574837e-01 3.229789059690574837e-01
5.792311455056180947e+00 2.369389657408466909e-01 2.369389657408466909e-01
5.890486225480861648e+00 1.606836982107068823e-01 1.606836982107068823e-01
5.988660995905543238e+00 9.722497662688286968e-02 9.722497662688286968e-02
6.086835766330223940e+00 4.910153596355985861e-02 4.910153596355985861e-02
6.185010536754905530e+00 1.827386205024500443e-02 1.827386205024500443e-02
6.283185307179586232e+00 6.040441245780648130e-03 6.040441245780648130e-03
6.381360077604266934e+00 1.297922163601527082e-02 1.297922163601527082e-02
6.479534848028948524e+00 3.891718815828783262e-02 3.891718815828783262e-02
6.577709618453629226e+00 8.292984495660250810e-02 8.292984495660250810e-02
6.675884388878310816e+00 1.433711730413405605e-01 1.433711730413405605e-01
6.774059159302991517e+00 2.179333423713440965e-01 2.179333423713440965e-01
6.872233929727672219e+00 3.037341628453427700e-01 3.037341628453427700e-01
6.970408700152353809e+00 3.974290192555720580e-01 3.974290192555720580e-01
7.068583470577034511e+00 4.953429115717966069e-01 4.953429115717966069e-01
7.166758241001715213e+00 5.936172709478292342e-01 5.936172709478292342e-01
7.264933011426396803e+00 6.883654937214540581e-01 6.883654937214540581e-01
7.363107781851077505e+00 7.758306707848704464e-01 7.758306707848704464e-01
7.461282552275758206e+00 8.525388161221668648e-01 8.525388161221668648e-01
7.559457322700439796e+00 9.154410299494828429e-01 9.154410299494828429e-01
7.657632093125120498e+00 9.620384673461196412e-01 9.620384673461196412e-01
7.755806863549802088e+00 9.904847055313366067e-01 9.904847055313366067e-01
7.853981633974482790e+00 9.996610800438485711e-01 9.996610800438485711e-01
7.952156404399163492e+00 9.892217465595176673e-01 9.892217465595176673e-01
8.050331174823844194e+00 9.596065643027560377e-01 9.596065643027560377e-01
8.148505945248526672e+00 9.120213241491000877e-01 9.120213241491000877e-01
8.246680715673207374e+00 8.483862900761396375e-01 8.483862900761396375e-01
8.344855486097888075e+00 7.712554162091210808e-01 7.712554162091210808e-01
8.443030256522568777e+00 6.837098759204661702e-01 6.837098759204661702e-01
8.541205026947249479e+00 5.892306335499891690e-01 5.892306335499891690e-01
8.639379797371930181e+00 4.915556525508864572e-01 4.915556525508864572e-01
8.737554567796612659e+00 3.945279281152719864e-01 3.945279281152719864e-01
8.835729338221293361e+00 3.019408340186516826e-01 3.019408340186516826e-01
8.933904108645974063e+00 2.173872745312689647e-01 2.173872745312689647e-01
9.032078879070654764e+00 1.441188403934999251e-01 1.441188403934999251e-01
9.130253649495335466e+00 8.492060543098120529e-02 8.492060543098120529e-02
9.228428419920017944e+00 4.200640283559031740e-02 4.200640283559031740e-02
9.326603190344698646e+00 1.693843351466467820e-02 1.693843351466467820e-02
