t fidelity9 fidelity25
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.853981633974483484e-03 5.550541915827476337e-04 1.541253412737317221e-03
1.570796326794896697e-02 2.218910893279231120e-03 6.155121984589924725e-03
2.356194490192345045e-02 4.987588551523727126e-03 1.381350527680467836e-02
3.141592653589793394e-02 8.855471013952710690e-03 2.446939936522824280e-02
3.926990816987241395e-02 1.381345891939098937e-02 3.805785089859443221e-02
4.712388980384690090e-02 1.985121529436329954e-02 5.449450217581218447e-02
5.497787143782138092e-02 2.695486288571827954e-02 7.367765524453882831e-02
6.283185307179586787e-02 3.510934468818804888e-02 9.548923823279067968e-02
7.068583470577034789e-02 4.429603816109423803e-02 1.197942056572414427e-01
7.853981633974482790e-02 5.449449154467467943e-02 1.464435075776515660e-01
8.639379797371930791e-02 6.568196533780686075e-02 1.752723578957810779e-01
9.424777960769380181e-02 7.783377090985510449e-02 2.061037734756852036e-01
1.021017612416682679e-01 9.092287931797887746e-02 2.387469363147247670e-01
1.099557428756427618e-01 1.049199950555363414e-01 2.730013229545948383e-01
1.178097245096172280e-01 1.197941603990365367e-01 3.086551651365129212e-01
1.256637061435917357e-01 1.355126400249785368e-01 3.454886215896065260e-01
1.335176877775662019e-01 1.520403900959206300e-01 3.832753106309317315e-01
1.413716694115406958e-01 1.693404844103164608e-01 4.217823300082552684e-01
1.492256510455151619e-01 1.873749621314382274e-01 4.607722362721943798e-01
1.570796326794896558e-01 2.061037549837731464e-01 5.000047778518398323e-01
1.649336143134641219e-01 2.254848939038810451e-01 5.392377377468450250e-01
1.727875959474386158e-01 2.454754767523326109e-01 5.782285058235717701e-01
1.806415775814131097e-01 2.660315344270829940e-01 6.167370765248278985e-01
1.884955592153876036e-01 2.871071593651968179e-01 6.545266478781956998e-01
1.963495408493620697e-01 3.086551118534553440e-01 6.913647628500896314e-01
2.042035224833365359e-01 3.306279601848821637e-01 7.270245914197960291e-01
2.120575041173110298e-01 3.529770599225292571e-01 7.612853968281761974e-01
2.199114857512855237e-01 3.756528253634905945e-01 7.939354133256310009e-01
2.277654673852600176e-01 3.986049244259201596e-01 8.247727556686617056e-01
2.356194490192344559e-01 4.217823776717259388e-01 8.536067259996443779e-01
2.434734306532089776e-01 4.451337116613401923e-01 8.802592441036476423e-01
2.513274122871834715e-01 4.686071623402972008e-01 9.045662493637510737e-01
2.591813939211579099e-01 4.921505842327419389e-01 9.263781033733542447e-01
2.670353755551324038e-01 5.157116260959277998e-01 9.455593280875307372e-01
2.748893571891068976e-01 5.392378412793306097e-01 9.619922147709586424e-01
2.827433388230813915e-01 5.626767925954297977e-01 9.755769603861136341e-01
2.905973204570558299e-01 5.859764583451398945e-01 9.862289285429657326e-01
2.984513020910303238e-01 6.090854042309868932e-01 9.938821119259720893e-01
3.063052837250048177e-01 6.319523922676720806e-01 9.984905177012732835e-01
3.141592653589793116e-01 6.545267469757095613e-01 1.000026638234455589e+00
3.220132469929538055e-01 6.767584748753427970e-01 9.984797477531224263e-01
3.298672286269282439e-01 6.985983786338486601e-01 9.938600714632415123e-01
3.377212102609027378e-01 7.199978190857214688e-01 9.861955858691854315e-01
3.455751918948772317e-01 7.409090597917485921e-01 9.755335689297894852e-01
3.534291735288517255e-01 7.612855716161890385e-01 9.619397668046930638e-01
3.612831551628262194e-01 7.810819947892410076e-01 9.454978882509884608e-01
3.691371367968006578e-01 8.002542475769869323e-01 9.263097049556935358e-01
3.769911184307752072e-01 8.187596341308664982e-01 9.044929372721978167e-01
3.848451000647496456e-01 8.365569408270036034e-01 8.801820301603846541e-01
3.926990816987241395e-01 8.536065580138139097e-01 8.535268307233987439e-01
4.005530633326986334e-01 8.698705886141877563e-01 8.246921250686691796e-01
4.084070449666730718e-01 8.853129537145904004e-01 7.938560077839778018e-01
4.162610266006476212e-01 8.998995009429513470e-01 7.612080491906643154e-01
