gt pop_n1 pop_n2 pop_mixed
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.570796326794896697e-02 2.467199161786458685e-04 2.467205601252356589e-04 2.467226145244968277e-04
3.141592653589793394e-02 9.866380441965613094e-04 9.866442358988009899e-04 9.866527765142623675e-04
4.712388980384690090e-02 2.219024032982658268e-03 2.219038985400984768e-03 2.219047986338092398e-03
6.283185307179586787e-02 3.942659466003301319e-03 3.942690387440192339e-03 3.942700883093238663e-03
7.853981633974482790e-02 6.155850066627799669e-03 6.155941035387357818e-03 6.155919073402146488e-03
9.424777960769380181e-02 8.856419129063975576e-03 8.856524385339183472e-03 8.856509091976688675e-03
1.099557428756427618e-01 1.204169024640567437e-02 1.204189496298571464e-02 1.204182145255700519e-02
1.256637061435917357e-01 1.570853276514557265e-02 1.570889254377379890e-02 1.570864723675840374e-02
1.413716694115406958e-01 1.985331831738627179e-02 1.985389904526280516e-02 1.985344367074060035e-02
1.570796326794896558e-01 2.447205880410976281e-02 2.447284202980475054e-02 2.447213215097661376e-02
1.727875959474386158e-01 2.955999470428539999e-02 2.956112101784691068e-02 2.956014381282255979e-02
1.884955592153876036e-01 3.511219934112408403e-02 3.511362267399326803e-02 3.511238666003324571e-02
2.042035224833365359e-01 4.112322248630453925e-02 4.112506940260958477e-02 4.112360748433740304e-02
2.199114857512855237e-01 4.758711361014764107e-02 4.758909655752811135e-02 4.758745572172557586e-02
2.356194490192344559e-01 5.449748451076780187e-02 5.449991878974817794e-02 5.449778443002235157e-02
2.513274122871834715e-01 6.184752998077307218e-02 6.185034811528245663e-02 6.184763104747818124e-02
2.670353755551324038e-01 6.962997222305691847e-02 6.963331921425627846e-02 6.963028774563094492e-02
2.827433388230813915e-01 7.783714737708086195e-02 7.783998717477552676e-02 7.783764454558672607e-02
2.984513020910303238e-01 8.646095254081576087e-02 8.646401981347554000e-02 8.646127385271829002e-02
3.141592653589793116e-01 9.549288036798832258e-02 9.549660042751655087e-02 9.549343151689462794e-02
3.298672286269282439e-01 1.049240189682161956e-01 1.049274049997721836e-01 1.049240812349409302e-01
3.455751918948772317e-01 1.147450596766966119e-01 1.147489861618679330e-01 1.147450277111218969e-01
3.612831551628262194e-01 1.249463108180473569e-01 1.249509084344374715e-01 1.249462701607066545e-01
3.769911184307752072e-01 1.355179370615805512e-01 1.355239857583548924e-01 1.355178641233614756e-01
3.926990816987241395e-01 1.464497301994392431e-01 1.464543239130098040e-01 1.464487024211774124e-01
4.084070449666730718e-01 1.577296944683130309e-01 1.577342419252020511e-01 1.577290861234396657e-01
4.241150082346220596e-01 1.693475178324282959e-01 1.693527460606527313e-01 1.693471024641549361e-01
4.398229715025710473e-01 1.812916626624754002e-01 1.812982670193479251e-01 1.812909508825536198e-01
4.555309347705200351e-01 1.935502617799234326e-01 1.935585104923258082e-01 1.935488642117998426e-01
4.712388980384689119e-01 2.061110931296124826e-01 2.061192733101039343e-01 2.061100592494514994e-01
4.869468613064179552e-01 2.189627073964479920e-01 2.189716777712552576e-01 2.189607737865730819e-01
5.026548245743669430e-01 2.320916184691797779e-01 2.321012738938740827e-01 2.320897526119276022e-01
5.183627878423158197e-01 2.454845743939922387e-01 2.454939173030746824e-01 2.454827509759195392e-01
5.340707511102648075e-01 2.591293895716416662e-01 2.591359894065753955e-01 2.591267194334910817e-01
5.497787143782137953e-01 2.730112360870058374e-01 2.730186245002544920e-01 2.730087683636371332e-01
5.654866776461627831e-01 2.871169358799741667e-01 2.871265203415902523e-01 2.871145209999345083e-01
5.811946409141116598e-01 3.014327705611145602e-01 3.014440152932089667e-01 3.014304295222651198e-01
5.969026041820606476e-01 3.159447994654493441e-01 3.159541155605013474e-01 3.159419370521249770e-01
6.126105674500096354e-01 3.306380520536468803e-01 3.306479859209715544e-01 3.306362258590295200e-01
6.283185307179586232e-01 3.454991608372330325e-01 3.455083364903070442e-01 3.454958522347835181e-01
6.440264939859076110e-01 3.605129557037670129e-01 3.605221692346857743e-01 3.605099625898561255e-01
6.597344572538564877e-01 3.756637748503169894e-01 3.756739277136830202e-01 3.756606831915986766e-01
6.754424205218054755e-01 3.909378730037645910e-01 3.909480989772758930e-01 3.909337691326133513e-01
6.911503837897544633e-01 4.063191764701477027e-01 4.063280820410052341e-01 4.063155390790076371e-01
7.068583470577034511e-01 4.217926549703949757e-01 4.218006987596797375e-01 4.217884021925761839e-01
7.225663103256524389e-01 4.373432553657765065e-01 4.373531692941626248e-01 4.373395143548757247e-01
7.382742735936013156e-01 4.529561927880665362e-01 4.529661440549195284e-01 4.529516155507933295e-01
7.539822368615504145e-01 4.686151094054773480e-01 4.686269157331474089e-01 4.686114786298100077e-01
7.696902001294992912e-01 4.843054216717600502e-01 4.843158612650774741e-01 4.843023809930922519e-01
7.853981633974482790e-01 5.000116819227641285e-01 5.000212399218064707e-01 5.000068489221497492e-01
8.011061266653972668e-01 5.157172516820663910e-01 5.157262417172486790e-01 5.157133881595489244e-01
8.168140899333461435e-01 5.314075972118690316e-01 5.314190337161716071e-01 5.314032614269976751e-01
8.325220532012952424e-01 5.470667835716573890e-01 5.470765502556529380e-01 5.470619453833355239e-01
8.482300164692441191e-01 5.626792874845312209e-01 5.626914342157112170e-01 5.626739827883402434e-01
8.639379797371931069e-01 5.782297342474007618e-01 5.782407240378537594e-01 5.782257098355443325e-01
8.796459430051420947e-01 5.937035621389444850e-01 5.937148475448372764e-01 5.936992414994838319e-01
8.953539062730909714e-01 6.090846377467205031e-01 6.090958416891832927e-01 6.090802866486741962e-01
9.110618695410400703e-01 6.243581242329779846e-01 6.243719857714697952e-01 6.243523924511634737e-01
9.267698328089889470e-01 6.395094131335672394e-01 6.395208863019933299e-01 6.395028209287725307e-01
9.424777960769378238e-01 6.545225075332602449e-01 6.545351412698408033e-01 6.545170309852624824e-01
